id,address,street,city,state,zip,lon,lat,cluster_id,n_points,last_time,distance_m,hull_area_deg2
119690107,"8633 AIKEN Road, LOUISVILLE, KY, 40245",AIKEN Road,LOUISVILLE,KY,40245,-85.4285822,38.2820131,2,41440,,0.0,13.223299363974721
119690108,"9303 AIKEN Road, LOUISVILLE, KY, 40245",AIKEN Road,LOUISVILLE,KY,40245,-85.4369959,38.278412,2,41440,,0.0,13.223299363974721
119690109,"2812 ASH Avenue, LOUISVILLE, KY, 40245",ASH Avenue,LOUISVILLE,KY,40245,-85.4433849,38.2777511,2,41440,,0.0,13.223299363974721
119690110,"2796 ASH Avenue, LOUISVILLE, KY, 40245",ASH Avenue,LOUISVILLE,KY,40245,-85.4476215,38.2793699,2,41440,,0.0,13.223299363974721
119690119,"53 PERSIMMON RIDGE Drive, LOUISVILLE, KY, 40245",PERSIMMON RIDGE Drive,LOUISVILLE,KY,40245,-85.4362133,38.2851996,2,41440,,0.0,13.223299363974721
119690120,"158 PERSIMMON RIDGE Drive, LOUISVILLE, KY, 40245",PERSIMMON RIDGE Drive,LOUISVILLE,KY,40245,-85.4496624,38.2948309,2,41440,,0.0,13.223299363974721
119690121,"192 PERSIMMON RIDGE Drive, LOUISVILLE, KY, 40245",PERSIMMON RIDGE Drive,LOUISVILLE,KY,40245,-85.4438508,38.2953044,2,41440,,0.0,13.223299363974721
119690122,"273 PERSIMMON RIDGE Drive, LOUISVILLE, KY, 40245",PERSIMMON RIDGE Drive,LOUISVILLE,KY,40245,-85.4358568,38.2955757,2,41440,,0.0,13.223299363974721
119690123,"278 PERSIMMON RIDGE Drive, LOUISVILLE, KY, 40245",PERSIMMON RIDGE Drive,LOUISVILLE,KY,40245,-85.4349804,38.294651,2,41440,,0.0,13.223299363974721
119690124,"279 PERSIMMON RIDGE Drive, LOUISVILLE, KY, 40245",PERSIMMON RIDGE Drive,LOUISVILLE,KY,40245,-85.4346686,38.2950535,2,41440,,0.0,13.223299363974721
119690125,"280 PERSIMMON RIDGE Drive, LOUISVILLE, KY, 40245",PERSIMMON RIDGE Drive,LOUISVILLE,KY,40245,-85.4347055,38.294361,2,41440,,0.0,13.223299363974721
119690126,"302 PERSIMMON RIDGE Drive, LOUISVILLE, KY, 40245",PERSIMMON RIDGE Drive,LOUISVILLE,KY,40245,-85.433344,38.2931219,2,41440,,0.0,13.223299363974721
119690127,"321 PERSIMMON RIDGE Drive, LOUISVILLE, KY, 40245",PERSIMMON RIDGE Drive,LOUISVILLE,KY,40245,-85.4313813,38.2909648,2,41440,,0.0,13.223299363974721
119690128,"601 PERSIMMON RIDGE Drive, LOUISVILLE, KY, 40245",PERSIMMON RIDGE Drive,LOUISVILLE,KY,40245,-85.4308522,38.2892856,2,41440,,0.0,13.223299363974721
119690129,"651 PERSIMMON RIDGE Drive, LOUISVILLE, KY, 40245",PERSIMMON RIDGE Drive,LOUISVILLE,KY,40245,-85.4304963,38.2889052,2,41440,,0.0,13.223299363974721
119690130,"801 PERSIMMON RIDGE Drive, LOUISVILLE, KY, 40245",PERSIMMON RIDGE Drive,LOUISVILLE,KY,40245,-85.4299531,38.2881387,2,41440,,0.0,13.223299363974721
119690131,"60 OSAGE Trail, LOUISVILLE, KY, 40245",OSAGE Trail,LOUISVILLE,KY,40245,-85.4349699,38.2938183,2,41440,,0.0,13.223299363974721
119690132,"3 OAK TREE Lane, LOUISVILLE, KY, 40245",OAK TREE Lane,LOUISVILLE,KY,40245,-85.4402503,38.2907533,2,41440,,0.0,13.223299363974721
119690133,"1005 KENZELI Court, LOUISVILLE, KY, 40245",KENZELI Court,LOUISVILLE,KY,40245,-85.4464267,38.2959436,2,41440,,0.0,13.223299363974721
119690134,"957 WILLOW CREEK Lane, LOUISVILLE, KY, 40245",WILLOW CREEK Lane,LOUISVILLE,KY,40245,-85.4399396,38.2853228,2,41440,,0.0,13.223299363974721
119690135,"406 SYCAMORE HILLS Lane, LOUISVILLE, KY, 40245",SYCAMORE HILLS Lane,LOUISVILLE,KY,40245,-85.436984,38.2851173,2,41440,,0.0,13.223299363974721
119690136,"108 CHERRY HILLS Lane, LOUISVILLE, KY, 40245",CHERRY HILLS Lane,LOUISVILLE,KY,40245,-85.4335685,38.2853952,2,41440,,0.0,13.223299363974721
119690137,"2244 LONG RUN Road, LOUISVILLE, KY, 40245",LONG RUN Road,LOUISVILLE,KY,40245,-85.4154874,38.2822509,2,41440,,0.0,13.223299363974721
119690138,"2234 LONG RUN Road, LOUISVILLE, KY, 40245",LONG RUN Road,LOUISVILLE,KY,40245,-85.4147719,38.2802226,2,41440,,0.0,13.223299363974721
119690139,"2220 LONG RUN Road, LOUISVILLE, KY, 40245",LONG RUN Road,LOUISVILLE,KY,40245,-85.4131362,38.2793452,2,41440,,0.0,13.223299363974721
119690140,"106 PARKVIEW Drive, LOUISVILLE, KY, 40245",PARKVIEW Drive,LOUISVILLE,KY,40245,-85.4133108,38.2781626,2,41440,,0.0,13.223299363974721
119690141,"113 PARKVIEW Drive, LOUISVILLE, KY, 40245",PARKVIEW Drive,LOUISVILLE,KY,40245,-85.414785,38.2781321,2,41440,,0.0,13.223299363974721
119690142,"229 PARKVIEW Drive, LOUISVILLE, KY, 40245",PARKVIEW Drive,LOUISVILLE,KY,40245,-85.4165607,38.2725676,2,41440,,0.0,13.223299363974721
119690143,"2103 LONG RUN Road, LOUISVILLE, KY, 40245",LONG RUN Road,LOUISVILLE,KY,40245,-85.4078515,38.2697201,2,41440,,0.0,13.223299363974721
119690144,"11 LINCOLN RUN Road, LOUISVILLE, KY, 40245",LINCOLN RUN Road,LOUISVILLE,KY,40245,-85.4021888,38.26846,2,41440,,0.0,13.223299363974721
119693398,"980 POUNDS Lane, SIMPSONVILLE, KY, 40067",POUNDS Lane,SIMPSONVILLE,KY,40067,-85.4179678,38.1742472,2,41440,,0.0,13.223299363974721
119693529,"8032 AIKEN Road, LOUISVILLE, KY, 40245",AIKEN Road,LOUISVILLE,KY,40245,-85.4127804,38.2917357,2,41440,,0.0,13.223299363974721
119693530,"9233 AIKEN Road, LOUISVILLE, KY, 40245",AIKEN Road,LOUISVILLE,KY,40245,-85.4341945,38.2791286,2,41440,,0.0,13.223299363974721
119693531,"2792 ASH Avenue, LOUISVILLE, KY, 40245",ASH Avenue,LOUISVILLE,KY,40245,-85.448415,38.2796466,2,41440,,0.0,13.223299363974721
119693532,"2650 ASH Avenue, LOUISVILLE, KY, 40245",ASH Avenue,LOUISVILLE,KY,40245,-85.4534354,38.2808351,2,41440,,0.0,13.223299363974721
119693533,"2600 ASH Avenue, LOUISVILLE, KY, 40245",ASH Avenue,LOUISVILLE,KY,40245,-85.4552655,38.2818159,2,41440,,0.0,13.223299363974721
119693541,"9301 FLOYDSBURG Road, LOUISVILLE, KY, 40245",FLOYDSBURG Road,LOUISVILLE,KY,40245,-85.421211,38.2942233,2,41440,,0.0,13.223299363974721
119693542,"9101 FLOYDSBURG Road, LOUISVILLE, KY, 40245",FLOYDSBURG Road,LOUISVILLE,KY,40245,-85.4231582,38.2957091,2,41440,,0.0,13.223299363974721
119693543,"9099 FLOYDSBURG Road, LOUISVILLE, KY, 40245",FLOYDSBURG Road,LOUISVILLE,KY,40245,-85.4245864,38.3021981,2,41440,,0.0,13.223299363974721
119693544,"73 PERSIMMON RIDGE Drive, LOUISVILLE, KY, 40245",PERSIMMON RIDGE Drive,LOUISVILLE,KY,40245,-85.4398483,38.289228,2,41440,,0.0,13.223299363974721
119693545,"93 PERSIMMON RIDGE Drive, LOUISVILLE, KY, 40245",PERSIMMON RIDGE Drive,LOUISVILLE,KY,40245,-85.4432645,38.2905837,2,41440,,0.0,13.223299363974721
119693546,"171 PERSIMMON RIDGE Drive, LOUISVILLE, KY, 40245",PERSIMMON RIDGE Drive,LOUISVILLE,KY,40245,-85.4477083,38.2946904,2,41440,,0.0,13.223299363974721
119693547,"253 PERSIMMON RIDGE Drive, LOUISVILLE, KY, 40245",PERSIMMON RIDGE Drive,LOUISVILLE,KY,40245,-85.4404484,38.2944571,2,41440,,0.0,13.223299363974721
119693548,"320 PERSIMMON RIDGE Drive, LOUISVILLE, KY, 40245",PERSIMMON RIDGE Drive,LOUISVILLE,KY,40245,-85.4321511,38.2906813,2,41440,,0.0,13.223299363974721
119693549,"901 PERSIMMON RIDGE Drive, LOUISVILLE, KY, 40245",PERSIMMON RIDGE Drive,LOUISVILLE,KY,40245,-85.4294224,38.2876954,2,41440,,0.0,13.223299363974721
119694924,"10186 SHELBYVILLE Road, SIMPSONVILLE, KY, 40067",SHELBYVILLE Road,SIMPSONVILLE,KY,40067,-85.4055027,38.2293941,2,41440,,0.0,13.223299363974721
119696188,"8318 AIKEN Road, LOUISVILLE, KY, 40245",AIKEN Road,LOUISVILLE,KY,40245,-85.4180008,38.2871327,2,41440,,0.0,13.223299363974721
119696189,"9299 AIKEN Road, LOUISVILLE, KY, 40245",AIKEN Road,LOUISVILLE,KY,40245,-85.4365226,38.2787212,2,41440,,0.0,13.223299363974721
119696190,"9323 AIKEN Road, LOUISVILLE, KY, 40245",AIKEN Road,LOUISVILLE,KY,40245,-85.4387045,38.2774551,2,41440,,0.0,13.223299363974721
119696191,"2816 ASH Avenue, LOUISVILLE, KY, 40245",ASH Avenue,LOUISVILLE,KY,40245,-85.4424392,38.2771795,2,41440,,0.0,13.223299363974721
119696192,"2401 ASH Avenue, LOUISVILLE, KY, 40245",ASH Avenue,LOUISVILLE,KY,40245,-85.4577429,38.2841942,2,41440,,0.0,13.223299363974721
119696200,"9406 FLOYDSBURG Road, LOUISVILLE, KY, 40245",FLOYDSBURG Road,LOUISVILLE,KY,40245,-85.4218729,38.2932046,2,41440,,0.0,13.223299363974721
119696201,"182 PERSIMMON RIDGE Drive, LOUISVILLE, KY, 40245",PERSIMMON RIDGE Drive,LOUISVILLE,KY,40245,-85.445407,38.2949933,2,41440,,0.0,13.223299363974721
119697708,"2801 ASH Avenue, LOUISVILLE, KY, 40245",ASH Avenue,LOUISVILLE,KY,40245,-85.4452081,38.2801279,2,41440,,0.0,13.223299363974721
119697719,"8422 AIKEN Road, LOUISVILLE, KY, 40245",AIKEN Road,LOUISVILLE,KY,40245,-85.4208896,38.2853506,2,41440,,0.0,13.223299363974721
119697720,"9297 AIKEN Road, LOUISVILLE, KY, 40245",AIKEN Road,LOUISVILLE,KY,40245,-85.4362462,38.2788316,2,41440,,0.0,13.223299363974721
119697721,"2818 ASH Avenue, LOUISVILLE, KY, 40245",ASH Avenue,LOUISVILLE,KY,40245,-85.4420201,38.2768002,2,41440,,0.0,13.223299363974721
119697729,"9450 FLOYDSBURG Road, LOUISVILLE, KY, 40245",FLOYDSBURG Road,LOUISVILLE,KY,40245,-85.4179063,38.2919116,2,41440,,0.0,13.223299363974721
119697730,"11 PERSIMMON RIDGE Drive, LOUISVILLE, KY, 40245",PERSIMMON RIDGE Drive,LOUISVILLE,KY,40245,-85.4335758,38.2815128,2,41440,,0.0,13.223299363974721
119697731,"63 PERSIMMON RIDGE Drive, LOUISVILLE, KY, 40245",PERSIMMON RIDGE Drive,LOUISVILLE,KY,40245,-85.4378343,38.2864162,2,41440,,0.0,13.223299363974721
119697732,"81 PERSIMMON RIDGE Drive, LOUISVILLE, KY, 40245",PERSIMMON RIDGE Drive,LOUISVILLE,KY,40245,-85.4411166,38.2900436,2,41440,,0.0,13.223299363974721
119697733,"249 PERSIMMON RIDGE Drive, LOUISVILLE, KY, 40245",PERSIMMON RIDGE Drive,LOUISVILLE,KY,40245,-85.4415963,38.2943273,2,41440,,0.0,13.223299363974721
119697734,"308 ARTHUR HILLS Way, LOUISVILLE, KY, 40245",ARTHUR HILLS Way,LOUISVILLE,KY,40245,-85.4378307,38.2933694,2,41440,,0.0,13.223299363974721
119697735,"16 OAK TREE Lane, LOUISVILLE, KY, 40245",OAK TREE Lane,LOUISVILLE,KY,40245,-85.4419497,38.2931004,2,41440,,0.0,13.223299363974721
119697736,"19 OAK TREE Lane, LOUISVILLE, KY, 40245",OAK TREE Lane,LOUISVILLE,KY,40245,-85.441218,38.2937075,2,41440,,0.0,13.223299363974721
